"index","artist","genre"
360,"Rita Coolidge","Country"
361,"Rita Coolidge & Rupert Holmes","Country"
362,"Ritchie Valens","Rock"
363,"Robert Plant","Country"
364,"Robert Plant & Alison Krauss","Country"
365,"Roberta Flack","Soul"
366,"Roberta Flack & Donny Hathaway","Soul"
367,"Rod Stewart","Rock"
368,"Rodriguez","Rock"
369,"Roger McGuinn & Calexico","Folk"
370,"Roy Buchanan","Folk"
371,"Roy Orbison","Rock"
372,"Ruben Romero","Pop"
373,"S. Carey","Pop"
374,"Sam the Sham & The Pharaohs","Rock"
375,"Santana","Rock"
376,"Santo And Johnny","Rock"
377,"Sarah Jarosz","Pop"
378,"Sarah McLachlan","Pop"
379,"Savoy Brown","Rock"
380,"Say Hi","Pop"
381,"Sertab","Folk"
382,"Shirley Caesar","Folk"
383,"Shooter Jennings","Country"
384,"Simon & Garfunkel","Rock"
385,"Slash","Pop"
386,"Small Faces","Pop"
387,"Sonic Youth","Folk"
388,"Sonny & Cher","Rock"
389,"Sonny Rollins","Rock"
390,"Sophie Zelmani","Folk"
391,"Stanley Turrentine","Jazz"
392,"Stealers Wheel","Rock"
393,"Steely Dan","Rock"
394,"Stephen Malkmus & Lee Ranaldo","Folk"
395,"Stephen Malkmus & The Million Dollar Bashers","Folk"
396,"Steppenwolf","Rock"
397,"Steve Goodman","Rock"
398,"Steve Miller Band","Rock"
399,"Stevie Ray Vaughan","Blues"
400,"Stevie Ray Vaughan & Double Trouble","Blues"
401,"Sting & The Police","Rock"
402,"Strawberry Alarm Clock","Rock"
403,"Stray Birds","Country"
404,"Stray Cats","Rock"
405,"Strunz & Farah","Pop"
406,"Styx","Rock"
407,"Sufjan Stevens","Folk"
408,"T. Rex","Rock"
409,"Talking Heads","Rock"
410,"Telekinesis","Rock"
411,"Ten Years After","Blues"
412,"Terry Bozzio, Tony Levin & Steve Stevens","Pop"
413,"Texas Tornados","TexMex"
414,"The Airborne Toxic Event","Rock"
415,"The Allman Brothers Band","Rock"
416,"The American Breed","Rock"
417,"The Animals","Rock"
418,"The Association","Rock"
419,"The Band","Rock"
420,"The Beach Boys","Rock"
421,"The Beatles","Rock"
422,"The Beau Brummels","Pop"
423,"The Belle Brigade","Pop"
424,"The Black Keys","Folk"
425,"The Box Tops","Rock"
426,"The Buckinghams","Rock"
427,"The Byrds","Rock"
428,"The Cars","Rock"
429,"The Castaways","Rock"
430,"The Charlie Daniels Band","Country"
431,"The Chi-Lites","Rock"
432,"The Chieftains","BlueGrass"
433,"The Coats","Pop"
434,"The Dave Clark Five","Rock"
435,"The Diamonds","Rock"
436,"The Doors","Rock"
437,"The Drifters","Rock"
438,"The Eagles","Rock"
439,"The Electric Prunes","Rock"
440,"The Everly Brothers","Rock"
441,"The Five Americans","Rock"
442,"The Fraternity of Man","Rock"
443,"The Gentrys","Rock"
444,"The Grass Roots","Rock"
445,"The Grateful Dead","Rock"
446,"The Guess Who","Rock"
447,"The Handsome Family","Rock"
448,"The Hold Steady","Folk"
449,"The Hollies","Rock"
450,"The Human Beinz","Folk"
451,"The Jazz Crusaders","Jazz"
452,"The Kingsmen","Rock"
453,"The Kingston Trio","Folk"
454,"The Kinks","Rock"
455,"The Knack","Pop"
456,"The Left Banke","Rock"
457,"The Mamas & The Papas","Folk"
458,"The Marketts","Rock"
459,"The Marshall Tucker Band","Rock"
460,"The Mavericks","TexMex"
461,"The Outsiders","Rock"
462,"The Overton Berry Trio","Jazz"
463,"The Paul Butterfield Blues Band","Blues"
464,"The Pointer Sisters","Rock"
465,"The Police","Rock"
466,"The Quintet","Jazz"
467,"The Rascals","Rock"
468,"The Rascals & The Young Rascals","Rock"
469,"The Righteous Brothers","Rock"
470,"The Rolling Stones","Rock"
471,"The Searchers","Rock"
472,"The Seeds","Rock"
473,"The Sir Douglas Quintet","TexMex"
474,"The Spencer Davis Group","Rock"
475,"The Surfaris","Rock"
476,"The Sweet","Rock"
477,"The Tokens","Rock"
478,"The Tom Petty_Heartbreakers","Rock"
479,"The Traveling Wilburys","Rock"
480,"The Tremeloes","Rock"
481,"The Troggs","Rock"
482,"The Turtles","Rock"
483,"The Ventures","Rock"
484,"The Wailin' Jennys","Country"
485,"The Who","Rock"
486,"The Yardbirds","Rock"
487,"The Young Rascals","Rock"
488,"The Youngbloods","Rock"
489,"The Zombies","Rock"
490,"Thelonious Monk","Jazz"
491,"Thelonious Monk Quartet With John Coltrane","Jazz"
492,"Them","Rock"
493,"Three Dog Night","Rock"
494,"Thunderclap Newman","Pop"
496,"Tina Turner","Rock"
497,"Tom Jones","Pop"
498,"Tom Petty & The Heartbreakers","Rock"
499,"Tom Verlaine & The Million Dollar Bashers","Folk"
500,"Tony Bennett","Holiday"
501,"Tony Burgos & His Swing Shift Orchestra","Jazz"
502,"Toto","Rock"
503,"Tower of Power","Rock"
504,"Trace Adkins","Country"
505,"Traffic","Rock"
506,"U2","Rock"
507,"Uncle Earl","BlueGrass"
508,"Union Gap","Rock"
509,"Unknown Artist","BlueGrass"
510,"Van Morrison","Rock"
511,"Wagner","Classic"
512,"Walela","Folk"
513,"Walt Weiskopf Nonet","Jazz"
514,"War","Rock"
515,"Waylon and Willie","Country"
516,"Waylon Jennings","Country"
517,"Waylon Jennings & The Waylors","Country"
518,"Waylon Jennings & Willie Nelson","Country"
519,"Wayne Fontana & The Mindbenders","Rock"
520,"We Are Augustines","Rock"
521,"Weather Report","Jazz"
522,"White Lion","Rock"
523,"Wilbert Harrison","Rock"
524,"Willie Nelson & Calexico","Folk"
525,"Willie Nelson and Leon Russel","Country"
526,"Wings","Rock"
527,"Wrabel","Pop"
528,"Wyatt McCubbin","Country"
529,"Wye Oak","Pop"
530,"Wynton Marsalis & Eric Clapton","Jazz"
531,"Yes","Rock"
532,"Yo La Tengo","Folk"
533,"Yo-Yo Ma","Pop"
534,"Zac Brown Band","Country"
535,"ZZ Top","Rock"
536,"ZTest","Test"
