"index","artist","album","genre","type"
802,"The Sir Douglas Quintet","The Great Sir Douglas Quintet Live","TexMex","Download"
803,"The Spencer Davis Group","The Best of the Spencer Davis Group","Rock","Download"
804,"The Surfaris","The Sunshine Collection","Rock","Download"
805,"The Sweet","Desolation Boulevard","Rock","Download"
806,"The Tokens","The Lion Sleeps Tonight","Rock","Download"
807,"The Tom Petty_Heartbreakers","Tom Petty & the Heartbreakers (1976)","Rock","CD"
808,"The Traveling Wilburys","The Traveling Wilburys, Vol. 1","Rock","CD"
809,"The Tremeloes","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
810,"The Tremeloes","Here Comes My Baby _ Silence Is Golden (Re-Recorded Versions) - Single","Rock","Download"
811,"The Troggs","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
812,"The Troggs","Wild Thing","Rock","Download"
813,"The Turtles","Save The Turtles_  The Turtles Greatest Hits","Rock","Download"
814,"The Ventures","Walk Don't Run_ The Best of the Ventures","Rock","Download"
815,"The Wailin' Jennys","40 Days","Country","Download"
816,"The Wailin' Jennys","Firecracker","Country","Download"
817,"The Who","Hits","Rock","Download"
818,"The Who","The Who_ The Ultimate Collection","Rock","Download"
819,"The Who","Tommy","Rock","Vinyl"
820,"The Yardbirds","The Ultimate Collection","Rock","Download"
821,"The Young Rascals","Groovin'","Rock","Download"
822,"The Youngbloods","Get Together_ The Essential Youngbloods","Rock","Download"
823,"The Zombies","Odessey and Oracle","Rock","Download"
824,"Thelonious Monk","Criss Cross","Jazz","Vinyl"
825,"Thelonious Monk Quartet With John Coltrane","At Carnegie Hall","Jazz","CD"
826,"Them","Them Featuring Van Morrison","Rock","Download"
827,"Three Dog Night","Best Of Three Dog Night","Rock","Vinyl"
828,"Thunderclap Newman","Easy Rider (Soundtrack from the Motion Picture) [Deluxe Edition]","Rock","Download"
829,"Tim O'Brien","Cornbread Nation","Blue Grass","CD"
831,"Tina Turner","Private Dancer","Rock","Vinyl"
832,"Tom Jones","Reloaded - Greatest Hits","Rock","Download"
833,"Tom Jones","Tom Jones_ Gold (1965-1975)","Rock","Download"
834,"Tom Petty & The Heartbreakers","Southern Accents","Rock","CD"
835,"Tom Verlaine & The Million Dollar Bashers","I'm Not There [Disc 2]","Folk","CD"
836,"Tony Bennett","Snowfall - The Tony Bennett Christmas Album","Holiday","Download"
837,"Tony Burgos & His Swing Shift Orchestra","Swing Now_ East Coast","Jazz","Download"
838,"Toto","The Essential Toto","Rock","Download"
839,"Tower of Power","Back to Oakland","Rock","CD"
840,"Tower of Power","Monster on a Leash","Rock","CD"
841,"Tower of Power","The Very Best of Tower of Power_ The Warner Years","Rock","CD"
842,"Trace Adkins","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
843,"Traffic","When The Eagle Flies","Rock","Vinyl"
844,"U2","Songs of Innocence","Rock","Download"
845,"U2","U218 Singles (Deluxe Version)","Rock","Download"
846,"Uncle Earl","She Waits for Night","BlueGrass","CD"
847,"Uncle Earl","Waterloo, Tennessee","BlueGrass","CD"
848,"Union Gap","Union Gap","Rock","Vinyl"
849,"Unknown Artist","IBMA Blue Grass Sample","BlueGrass","CD"
850,"Unknown Artist","Space Odessy Sound Track","Rock","Download"
851,"Unknown Artist","Unknown Album","Rock","Download"
852,"Van Morrison","Blowin' Your Mind!","Rock","Download"
853,"Van Morrison","Moondance","Rock","Download"
854,"Van Morrison","Pay the Devil","Rock","Download"
855,"Van Morrison","The Best of Van Morrison, Vol. 3","Rock","Download"
856,"Van Morrison","The Movie Hits","Rock","Download"
857,"Van Morrison","Van Morrison - The Movie Hits","Rock","Download"
858,"Wagner","A Wagner Concert","Classic","Download"
859,"Wagner","Bernstein Conducts Wagner","Classic","Download"
860,"Walela","Walela","Folk","CD"
861,"Walt Weiskopf Nonet","Siren","Rock","Download"
862,"War","Best of War","Rock","Download"
863,"War","Platinum Jazz","Rock","Vinyl"
864,"War","The Very Best of War","Rock","Download"
865,"Waylon and Willie","Waylon and Willie","Country","Vinyl"
866,"Waylon Jennings","Honky Tonk Heroes","Country","CD"
867,"Waylon Jennings","Love Of The Common People","Country","Download"
868,"Waylon Jennings","Right For The Time","Country","Download"
869,"Waylon Jennings","The Essential Waylon Jennings","Country","Download"
870,"Waylon Jennings","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
871,"Waylon Jennings","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
872,"Waylon Jennings","What Goes Around Comes Around","Country","Vinyl"
873,"Waylon Jennings & The Waylors","Early Years","Country","Download"
874,"Waylon Jennings & Willie Nelson","Waylon & Willie (Remastered)","Country","Vinyl"
875,"Wayne Fontana & The Mindbenders","20th Century Masters - The Millennium Collection_ Wayne Fontana & The Mindbenders","Rock","Download"
876,"We Are Augustines","Chapel Song - Single","Rock","Download"
877,"Weather Report","8_30 (Live)","Jazz","Download"
878,"Weather Report","Black Market","Jazz","Vinyl"
879,"Weather Report","Heavy Weather","Jazz","Vinyl"
880,"Weather Report","Mr. Gone","Jazz","Download"
